FH,FR,MH,MR,CH,CG,NU
180.3,W,165.1,W,167.6,F,No
180.3,W,167.6,W,190.5,M,No
177.8,B,165.1,B,170.2,M,No
177.8,W,170.2,W,177.8,M,No
160,SA,154.4,SA,167.6,M,No
182.9,W,172.7,W,152.4,F,No
182.9,W,170.2,W,193,M,No
180.3,W,170.2,W,167.6,F,No
175.3,SA,167.6,SA,160,F,No
175.3,SA,167.6,SA,172.7,M,No
175.3,SA,167.6,SA,182.9,M,No
180.3,W,165.1,W,185.4,M,No
180.3,W,165.1,W,182.9,M,No
177.8,B,157.5,B,157.5,F,No
175.3,W,165.1,W,157.5,F,No
175.3,W,165.1,W,154.9,F,No
175.3,W,165.1,W,162.6,F,No
180.3,W,154.9,W,157.5,F,No
177.8,W,154.9,W,177.8,M,No
177.8,W,154.9,W,182.9,M,No
177.8,W,175.3,W,172.7,F,No
182.9,W,172.7,W,185.4,M,No
190.5,W,162.6,W,180.3,F,No
180.3,W,157.5,W,165.1,F,No
182.9,W,180.3,W,170.2,F,No
177.8,W,154.9,W,165.1,F,No
175.3,A,175.3,A,200.7,M,No
182.9,B,162.6,B,160,F,No
188,W,172.7,W,170.2,F,No
185.4,W,165.1,W ,160,F,No
177.8,W,152.4,W,160,F,No
190.5,W,170.2,W,175.3,F,No
170.2,W,182.9,W,188,M,No
170.2,W,165.1,W,180.3,M,No
193,W,162.6,W,162.6,F,No
177.8,W,165.1,W,167.6,F,No
182.9,W ,162.6,W,162.6,F,No
180.3,W,162.6,W,170.2,M,No
188,W,165.1,W,165.1,F,No
182.9,W ,170.2,W,165.1,F,No
185.4,B,160,W,179,M,No
177.8,W,168.9,W,168.9,F,No
182.9,W,175.3,W,177.8,M,No
165,A,156,A,171,M,No
188,W,160,W,188,M,No
170.2,W,177.8,W,177.8,F,No
188,W,154.9,W,160,F,No
188,W,180.3,W,172.7,F,No
185.4,W,149.9,W,165.1,F,No
170,W,170,W,178,M,No
182.88,W,157.48,W,177.8,M,No
154.94,W,172.72,W,180.34,M,No
177,A,175,W,175,M,No
162.56,W,152.4,W,152.4,F,No
180.34,W,172.72,W,175.26,M,No
185.42,W,154.94,W,170.18,F,No
177.8,W,157,W,165,F,No
182.8,W,162.5,W,185.4,M,No
165.1,W,162.56,W,172.72,M,No
172.72,W,165.1,W,175.26,M,No
170.18,SA,170.18,SA,175.26,M,No
172.72,W,165.1,W,180.34,M,No
172.72,W,165.1,W,172.72,M,No
187.96,W,172.72,W,177.8,M,No
177.8,W,165.1,W,177.8,M,No
175.26,W,178,W,180.34,M,No
167.64,W,158.2,W,182.88,M,No
175,W,162.56,W,172.72,M,No
154.94,W,157.48,W,182.88,M,No
172.72,W,167.64,W,154.94,M,No
162.56,A,152.4,A,165.1,M,No
182.88,B,165.1,W,193.04,M,No
182.88,W,154.94,W,152.4,F,No
182.88,B,172.72,B,175.26,M,No
185.42,W,162.56,W,157.48,F,No
167.64,B,172.72,W,170.18,F,YES
182.88,B,162.56,W,165.1,F,No
154.94,H,165.1,H,170.18,F,No
170.18,W,172.72,W,170.18,M,No
193.04,W,165.1,W,172.72,F,No
175.26,W,165.1,W,185.42,M,No
180.34,SA,157.48,A,186,M,YES
193.04,B,165.1,B,190.5,M,No
193.04,B,165.1,B,187.96,M,No
208.28,B,172.72,B,198.12,M,No
193.04,B,182.88,B,190.5,M,No
193.04,B,182.88,B,198.12,M,No
193.04,B,182.88,B,182.88,M,No
205.74,B,167.64,B,190.5,M,No
215.9,B,170.18,B,205.74,M,No
167.64,B,170.18,B,175.26,M,No
213.36,B,167.64,B,203.2,M,No
198.12,B,185.42,W,198.12,M,No
198.12,B,185.42,W,203.2,M,No
198.12,B,185.42,W,195.579,M,No
175.26,B,165.1,B,198.12,M,No
172.72,B,170.18,B,190.5,M,No
167.64,A,167.64,A,190.5,M,No
177.8,W,177.8,W,203.2,M,No
172.72,B,175.26,B,215.9,M,No
167.64,B,157.48,B,208.28,M,No
193.04,W,177.8,W,200.66,M,No
177.8,W,154.94,W,185.42,M,No
162.56,W,168.91,W,177.8,M,No
166.37,B,157.48,B,177.8,M,No
185.42,W,152.4,W,167.64,M,No
