FH,FR,MH,MR,CH,CG,NU
180.3,0.0,165.1,0.0,167.6,1.0,0
180.3,0.0,167.6,0.0,190.5,0.0,0
177.8,1.0,165.1,1.0,170.2,0.0,0
177.8,0.0,170.2,0.0,177.8,0.0,0
160.0,2.0,154.4,2.0,167.6,0.0,0
182.9,0.0,172.7,0.0,152.4,1.0,0
182.9,0.0,170.2,0.0,193.0,0.0,0
180.3,0.0,170.2,0.0,167.6,1.0,0
175.3,2.0,167.6,2.0,160.0,1.0,0
175.3,2.0,167.6,2.0,172.7,0.0,0
175.3,2.0,167.6,2.0,182.9,0.0,0
180.3,0.0,165.1,0.0,185.4,0.0,0
180.3,0.0,165.1,0.0,182.9,0.0,0
177.8,1.0,157.5,1.0,157.5,1.0,0
175.3,0.0,165.1,0.0,157.5,1.0,0
175.3,0.0,165.1,0.0,154.9,1.0,0
175.3,0.0,165.1,0.0,162.6,1.0,0
180.3,0.0,154.9,0.0,157.5,1.0,0
177.8,0.0,154.9,0.0,177.8,0.0,0
177.8,0.0,154.9,0.0,182.9,0.0,0
177.8,0.0,175.3,0.0,172.7,1.0,0
182.9,0.0,172.7,0.0,185.4,0.0,0
190.5,0.0,162.6,0.0,180.3,1.0,0
180.3,0.0,157.5,0.0,165.1,1.0,0
182.9,0.0,180.3,0.0,170.2,1.0,0
177.8,0.0,154.9,0.0,165.1,1.0,0
175.3,3.0,175.3,3.0,200.7,0.0,0
182.9,1.0,162.6,1.0,160.0,1.0,0
188.0,0.0,172.7,0.0,170.2,1.0,0
185.4,0.0,165.1,0.0,160.0,1.0,0
177.8,0.0,152.4,0.0,160.0,1.0,0
190.5,0.0,170.2,0.0,175.3,1.0,0
170.2,0.0,182.9,0.0,188.0,0.0,0
170.2,0.0,165.1,0.0,180.3,0.0,0
193.0,0.0,162.6,0.0,162.6,1.0,0
177.8,0.0,165.1,0.0,167.6,1.0,0
182.9,0.0,162.6,0.0,162.6,1.0,0
180.3,0.0,162.6,0.0,170.2,0.0,0
188.0,0.0,165.1,0.0,165.1,1.0,0
182.9,0.0,170.2,0.0,165.1,1.0,0
185.4,1.0,160.0,0.0,179.0,0.0,0
177.8,0.0,168.9,0.0,168.9,1.0,0
182.9,0.0,175.3,0.0,177.8,0.0,0
165.0,3.0,156.0,3.0,171.0,0.0,0
188.0,0.0,160.0,0.0,188.0,0.0,0
170.2,0.0,177.8,0.0,177.8,1.0,0
188.0,0.0,154.9,0.0,160.0,1.0,0
188.0,0.0,180.3,0.0,172.7,1.0,0
185.4,0.0,149.9,0.0,165.1,1.0,0
170.0,0.0,170.0,0.0,178.0,0.0,0
182.88,0.0,157.48,0.0,177.8,0.0,0
154.94,0.0,172.72,0.0,180.34,0.0,0
177.0,3.0,175.0,0.0,175.0,0.0,0
162.56,0.0,152.4,0.0,152.4,1.0,0
180.34,0.0,172.72,0.0,175.26,0.0,0
185.42,0.0,154.94,0.0,170.18,1.0,0
177.8,0.0,157.0,0.0,165.0,1.0,0
182.8,0.0,162.5,0.0,185.4,0.0,0
165.1,0.0,162.56,0.0,172.72,0.0,0
172.72,0.0,165.1,0.0,175.26,0.0,0
170.18,2.0,170.18,2.0,175.26,0.0,0
172.72,0.0,165.1,0.0,180.34,0.0,0
172.72,0.0,165.1,0.0,172.72,0.0,0
187.96,0.0,172.72,0.0,177.8,0.0,0
177.8,0.0,165.1,0.0,177.8,0.0,0
175.26,0.0,178.0,0.0,180.34,0.0,0
167.64,0.0,158.2,0.0,182.88,0.0,0
175.0,0.0,162.56,0.0,172.72,0.0,0
154.94,0.0,157.48,0.0,182.88,0.0,0
172.72,0.0,167.64,0.0,154.94,0.0,0
162.56,3.0,152.4,3.0,165.1,0.0,0
182.88,1.0,165.1,0.0,193.04,0.0,0
182.88,0.0,154.94,0.0,152.4,1.0,0
182.88,1.0,172.72,1.0,175.26,0.0,0
185.42,0.0,162.56,0.0,157.48,1.0,0
167.64,1.0,172.72,0.0,170.18,1.0,1
182.88,1.0,162.56,0.0,165.1,1.0,0
154.94,4.0,165.1,4.0,170.18,1.0,0
170.18,0.0,172.72,0.0,170.18,0.0,0
193.04,0.0,165.1,0.0,172.72,1.0,0
175.26,0.0,165.1,0.0,185.42,0.0,0
180.34,2.0,157.48,3.0,186.0,0.0,1
193.04,1.0,165.1,1.0,190.5,0.0,0
193.04,1.0,165.1,1.0,187.96,0.0,0
208.28,1.0,172.72,1.0,198.12,0.0,0
193.04,1.0,182.88,1.0,190.5,0.0,0
193.04,1.0,182.88,1.0,198.12,0.0,0
193.04,1.0,182.88,1.0,182.88,0.0,0
205.74,1.0,167.64,1.0,190.5,0.0,0
215.9,1.0,170.18,1.0,205.74,0.0,0
167.64,1.0,170.18,1.0,175.26,0.0,0
213.36,1.0,167.64,1.0,203.2,0.0,0
198.12,1.0,185.42,0.0,198.12,0.0,0
198.12,1.0,185.42,0.0,203.2,0.0,0
198.12,1.0,185.42,0.0,195.579,0.0,0
